id,StartUp,Country,Year,Raised,ESG,E,S,G,Cluster
458,Measurable Data Token,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
459,Monico,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
460,Movement App,United States,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
461,Netspot Solutions,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
462,NXAD,Germany,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
463,NYNJA,"Hong Kong SAR, China",0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
464,OBSERVER,Estonia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
465,Omnilytics Platform,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
466,Ontology,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
467,Open Longevity,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
468,Opporty,United States,2017,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
469,ORCA Alliance,Estonia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
470,Powerchain,Singapore,0,0.0,0.006,0.0,0.004,0.002,"(4, 4)"
471,PreVUE,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
472,ReMoneta,Estonia,2018,13940576.0,0.01,0.0,0.006,0.004,"(0, 2)"
473,REPU,Ukraine,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
474,ShareMe Music,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
475,Signature Token,Austria,0,0.0,0.006,0.0,0.002,0.004,"(4, 4)"
476,SNTX IEO,Malta,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
478,Sponsy,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
479,Swap Online,Estonia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
480,Tenzorum,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
481,Tetarise,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
482,Tombcare,Russian Federation,0,0.0,0.002,0.0,0.002,0.0,"(4, 4)"
483,Truegym,Czech Republic,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
484,UMC,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
485,UnicornGo,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
486,Universal Labs,"Hong Kong SAR, China",0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
488,WAX,United States,0,9600000.0,0.0,0.0,0.0,0.0,"(0, 2)"
489,WeAre ecosystem,Switzerland,2018,0.0,0.004,0.0,0.0,0.004,"(4, 4)"
490,WILLTOKEN,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
492,A7 Core,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
493,AdRealm,China,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
494,AllSpark,Singapore,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
495,Alluma.io,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
496,Alphacat,China,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
497,Americans Bitcoin,Brazil,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
498,Apollonia,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
499,ARCH CRYPTON,Indonesia,2019,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
